"original_title","original_indicator_code","our_title","short_indicator_description_de","short_indicator_description_en","long_indicator_description_de","long_indicator_description_en","unit","target","explanation_of_target","scoring","last_update","extracted","source_of_data","source_note","indicator_type","indicator_source","link","type","sdg","most_recent_year","ministerial_responsibility"
"Suicide rates, Total, Per 100 000 persons","doi: 10.1787/a82f3459-en","Suizidrate","Suizidrate pro 100.000 Einwohner pro Jahr","Rate of suicides per 100.000 inhabitants per year","Der Indikator Selbstmordrate ist definiert als Anzahl der Tode, die von der verstorbenen Person bewußt herbeigeführt und ausgeführt wurden im vollen Wissen und in der Erwartung des tödlichen Konsequenz. Die Vergleichbarkeit der Daten zwischen den Ländern wird beeinflusst durch die unterschiedlichen Kriterien der Berichtserstattung beispielsweise im Hinblick darauf, wie die Intention der Selbsttötung bewertet wird, wer die Todesbescheinigung ausfüllt, ob eine forenische Untersuchung stattgefunden hat und inwiefern Datenschutzbestimmungen zu Todesursachen bestehen. Ein Ländervergleich ist daher nur eingeschränkt möglich. Der Indikator gibt die Anzahl der Selbstmordfälle pro 100.000 Personen an.(Quelle: OECD)","Suicide rates are defined as the number of deaths deliberately initiated and performed by a person in the full knowledge or expectation of its fatal outcome. Comparability of data between countries is affected by a number of reporting criteria, including how a person's intention of killing themselves is ascertained, who is responsible for completing the death certificate, whether a forensic investigation is carried out, and the provisions for confidentiality of the cause of death. Caution is required therefore in interpreting variations across countries. This indicator is measured in terms of deaths per 100 000 persons.(Source: OECD)","Total pro 100000 Einwohner","5","","below 5 = 1 = very good, below 10 = 2 = good, below 15 = 3 = satisfactory, below 20 = 4 = bad, 30 and above = 5 = very bad","","30.10.2015","OECD","","national","OKF","https://data.oecd.org/healthstat/suicide-rates.htm","[""social""]","[3]",2013,"[""BMG""]"
"Intentional homicides (per 100 000 people)","VC.IHR.PSRC.P5","Vorsätzliche Tötungsdelikte ","Vorsätzliche Tötungsdelikte sind Schätzungen von gesetzeswiedriger Tötung, größtenteils ausgenommen von großen organisierten Tötungen in bewaffneten Konflikten","Intentional homicides are estimates of unlawful homicides purposely inflicted and mostly excluiding large organised killing in armed conflict","Vorsätzliche Tötungsdelikte sind Schätzungen von gesetzeswiedriger Tötung die beabsichtigt aus häuslichen Auseinandersetzungen, zwischenmenschlicher Gewalt, Gewaltkonflikten über Landressourcen, Gewalt unter Gangs über Revier oder Kontrolle, Raubgewalt und Tötung durch bewaffnete Gruppen. Überwiegend ausgenommen sind große organisierte Tötungen im Rahmen von bewaffneten Konflikten und bei einer Truppengröße von bis zu mehreren hundert  Personen.","Intentional homicides are estimates of unlawful homicides purposely inflicted as a result of domestic disputes, interpersonal violence, violent conflicts over land resources, intergang violence over turf or control, and predatory violence and killing by armed groups. Intentional homicide does not include all intentional killing; the difference is usually in the organization of the killing. Individuals or small groups usually commit homicide, whereas killing in armed conflict is usually committed by fairly cohesive groups of up to several hundred members and is thus usually excluded.","per 100000 Menschen","0","Je weniger Tötungsdelikte, desto besser.",,,,"World Bank","Intentional homicides are estimates of unlawful homicides purposely inflicted as a result of domestic disputes, interpersonal violence, violent conflicts over land resources, intergang violence over turf or control, and predatory violence and killing by armed groups. Intentional homicide does not include all intentional killing; the difference is usually in the organization of the killing. Individuals or small groups usually commit homicide, whereas killing in armed conflict is usually committed by fairly cohesive groups of up to several hundred members and is thus usually excluded.","national","OKF","http://data.worldbank.org/indicator/VC.IHR.PSRC.P5","social","[16]",2012,"[""BMJ""]"
"Forest Change (FORCH) - Change in forest cover between 2000 and 2012 (%)","FORCH","Veränderung in der Waldfläche","Veränderung der Waldfläche eines Landes zwischen 2000 und 2012 in Prozent. Negative Werte bedeuten Verlust an Waldfläche.","Change of forest cover between 2000 and 2012 in percentage. Nevative values represent loss of forest cover.","Veränderung der Waldfläche ist ein Indikator, der im Rahmen des Yale Environmental Performance Index entwickelt wurde. Er misst die Veränderung der Waldfläche eines Landes zwischen 2000 und 2012 in Gebieten, die im Jahr 2000 zu mehr als 50% mit Bäumen bedeckt war. Er berücksichtigt Gebiete mit Waldverlust, Wiederaufforstung und Aufforstung. Wälder sind dynamische Ökosysteme, die kritisch sind für ökologisches Gleichgewicht, Biodiversität und menschlichen Wohlstand. Wälder spielen eine kritische Rolle bei der Eindämmung des Klimawandels und liefern wichtige Dienstleistungen und Produkte. Eine Verringerung der Waldfläche has deutliche negative Auswirkungen auf Ökosystemleistungen und den Schutz von Lebensräumen. Die Daten für diesen Index stammen aus einem Forschungsprojekt der Universität Maryland (USA) und beruhen auf Daten der UN Organisation für Ernährungswissenschaften und Landwirtschaft (FAO) sowie auf der Analyse von Satellitenbildern. Insbesondere die FAO Daten haben Qualitätsmängel, die teilweise von den Satellitendaten aufgewogen werden. Mehr Informationen zur Datenqualität finden sich hier: http://epi.yale.edu/our-methods/forests. (Source EPI)","The Change in Forest Cover is an indicator proposed by the Yale Environmental Performance Index. It measures the percent change in forest cover between 2000 and 2012 in areas with greater than 50 percent tree cover in the year 2000. It factors in areas of forest loss (including deforestation), reforestation (forest restoration or replanting), and afforestation (conversion of bare or cultivated land into forest). Forests are dynamic ecosystems vital to sustaining natural life cycles, biodiversity, and the prosperity of humankind. Forests play a critical role in mitigating the effects of climate change and providing integral ecosystem services and products. A reduction in the extent of forest cover has significant negative implications for ecosystem services and habitat protection. The data  provided by a research project at the university of Maryland (USA) and is based on FAO data and satellite images. Particularly the FAO data has quality issues which are partially corrected by satellite images. More information on the data quality is provided on the EPI website: http://epi.yale.edu/our-methods/forests. (Source: EPI)","Prozent","0","0 % Veränderung ist ein sehr moderates Ziel angesichts der Bedeutung von Wald für den Klimawandel.",,"27.10.2015",,"Yale Environmental Performance Index","M.C. Hansen et al. (2013). High-Resolution Global Maps of 21st-Century Forest Cover Change. Science. 342 (6160): 850-853.,","global","[""OKF""]","http://epi.yale.edu/epi/issue-ranking/forests","[""ecologic""]","[15]",2012,"[""BMUB""]"
"Basel AML Index","","Geldwäsche und Terrorfinanzierung","Für diesen Indikator wird anhand von 14 Einzelindikatoren aus öffentlichen Quellen wie Korruption, finanzielle Standards, politische Offenlegung und Rechtsstaatlichkeit gemessen wie hoch das Risiko in einem Land zu Geldwäsche und Terrorfinanzierung ist","For this indicator the risk of money laundering and terrorist financing of countries based on 14 indicators incluiding corruption, financial standards, political disclosure and rule of law are aggregated into one overall risk score","Für diesen Indikator wird gemessen wie hoch das Risiko zu Geldwäsche und Terrorfinanzierung ist. Dazu werden 14 Einzelindikatoren aus öffentlich zugänglichen Quellen wie Korruption, finanzielle Standards, politische Offenlegung und Rechtsstaatlichkeit zu einem übergeordneten Risikowert aggregiert","The indicator measures the risk of money laundering and terrorist financing of countries. Therefor a total of 14 indicators based on publicly available sources incluiding corruption, financial standards, political disclosure and rule of law are aggregated into one overall risk score.","Punkte","0","wenig Risko (0 Punkte) bis hohes Risiko (10 Punkte)",,,,"Basel Institute on Governance","The Basel AML Index measures the risk of money laundering and terrorist financing of countries based on publicly available sources. A total of 14 indicators that deal with AML/CFT regulations, corruption, financial standards, political disclosure and rule of law are aggregated into one overall risk score. By combining these various data sources, the overall risk score represents a holistic assessment addressing structural as well as functional elements in the AML/CFT framework. As there are no quantitative data available, the Basel AML Index does not measure the actual existence of money laundering activity or amount of illicit financial money within a country but is designed to indicate the risk level, i.e. the vulnerabilities of money laundering and terrorist financing within a country. The Basel AML Index ranks countries based on the overall score and provides data that is useful for comparative purposes. However it should be stressed that the primary objective is not to rank countries in comparison to each other. Rather, the Basel AML Index seeks to provide an overall picture of a country’s risk level and to serve as a solid starting point for examining progress over time","global","OKF","https://index2015.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2015.pdf","[""economic""]","[16]",2015,"[""BMJ""]"
,"","Anzahl Migranten aus nicht DAC-Ländern aus dem vergangenen Jahr ","Anteil der Migranten aus Entwicklungsländern an der Gesamtbevölkerung","Share of migrants from developing countries in overall population","Offenheit der OECD Länder gegenüber Migranten ermöglicht den Migranten aus sogenannten Entwicklungsländern höhere Einkommen zu verdienen und teilweise nach Hause zu schicken, eine Ausbildung zu erhalten und mit mehr Fähigkeiten und Kapital nach hause zurückzukehren. Der Migrationsindikator wurde vom Center for Global Development (CGD) im Rahmen des Commitment to Development Index (CDI) entwickelt. Er misst die Zuwanderung von Migranten aus sogenannten Entwicklungsländern im Verhältnis zur Gesamtbevölkerung eines Landes. Die Daten stammen von nationalen Migrationsbehörden, die an die OECD berichten und berücksichtigt nur sehr bedingt illegale Migration. Die Zuwanderung von Migranten aus ärmeren Ländern wird höher bewertet als die Zuwanderung aus Ländern mit höherem durchschnittlichen Einkommen. Weitere Informationen zu diesem Indikator finden sich im CDI Technical Paper.","Openness of OECD countries to migrants creates opportunities for them to earn more, send home money, get education, and return with new skills and capital. This indicator has been developed by the Center for Global Development (CGD) in the context of the Commitment to Development Index (CDI). It measures the gross inflow of migrants from developing countries per year as a share of receiving country population. Figures come from immigration agencies that report to the OECD. These figures miss most likely illegal migrants. Immigration from poorer countries is rewarded more than immigration from countries with higher average income. For more details on this indicator please consult the CDI Technical Paper.","Prozent","1","",,"27.10.2015",,"Commitment to Development Index, Center for Global Development ","Gross inflow of migrants from developing countries per year as a share of receiving country population. Figures come from immigration agencies and most likely miss illegal migrants. Immigration from poorer countries is rewarded more. Openness to migrants creates opportunities for them to earn more, send home money, get education, and return with new skills and capital.","pcd","[""Other: CDI""]","http://www.cgdev.org/initiative/commitment-development-index/index","[""social"",""economic""]","[10]",2013,"[""BMI"",""BMAS""]"
"Refugees and asylum applications accepted","","Anzahl Flüchtlinge in einem Land plus kürzlich genemigte Asylanträge",,,"Dieser Indikator beruht auf der Anzahl der Flüchtlinge, die in einem Land leben und die Anzahl der akzeptieren Asylanträge im vergangenen Jahr. Die Gesamtzahl der Personen wird durch das Bruttoinlandsproduktes des Landes geteilt. Bei diesem Indikator werden auch die Personen berücksichtigt, die vom UN Hochkommissariat als besonders schutzbedürftig betrachtet werden. Dieser Indikator wurde vom Center for Global Development (CGD) im Rahmen des Commitment to Development Index (CDI) entwickelt. Er beruht auf einer vereinfachten Version eines UNHCR Indizes und auf UNHCR Daten. Dieser Indikator berücksichtigt noch nicht die aktuellen Entwicklungen in der Flüchtlingspoliti.","This indicator adds together the number of refugees living in a country and the number of asylum applications accepted in a recent year, all divided by the host country's gross domestic product. The number of refugees include other 'persons of concern' as defined by the U.N. High Commissioner for Refugees (UNHCR). The indicator was developed by the Center for Global Development (CGD) in the context of the Commitment to Development Index (CDI) using a simplified version of the UNHCRs index and UNHCR data. This indicator does not yet take into account the current developments in migration flows in Europe.","Personen pro Billionen Dollar GDP","700","",,"27.10.2015",,"The Commitment to Development Index, Center for Global Development ","This indicator adds together the number of refugees living in a country and the number of asylum applications accepted in a recent year, all divided by the host country's gross domestic product.","pcd","CDI","http://www.cgdev.org/initiative/commitment-development-index/index","[""economic""]","[10]",2014,"[""BMAS""]"
"Impact of Socioeconomic Factors on Educational Performance","","Einfluss sozioökonomischer Faktoren auf Schulleistungen","Der Indikator monitorisiert inwiefern sozialer Hintergrund von Einfluss ist auf die schulischen Leistungen eines Schülers im jeweiligen Land. ","The indicator monitors how one student’s social background influences his or her educational performance in a certain country.","Dieser Indikator, raportiert durch den Social Inclusion Monitor Europe Index Report und basierend auf den Daten der OECD PISA und der Bertelsmann-Stiftung, beschaut wie eine Gesellschaft als sozial befunden werden kann – zusätzlich zu Armutsprävention – auf Grund der Verteilung und Einsatz von Bildungsmöglichkeiten. Der Indikator monitorisiert inwiefern sozialer Hintergrund von Einfluss ist auf die schulischen Leistungen eines Schülers. Schweden, Dänemark, Litauen, Estland, Kroatien und Finnland sind die Länder mit dem höchsten Ranking für diesen Indikator. Gleichzeitig haben auch Finnland und Estland die besten Ergebnisse im aktuellsten PISA-Test erzielt. Dies zeigt dass ein hohes Maß an sozialer Gerechtigkeit und ein gut funktionierendes Bildungssystem aneinander beitragen.","This indicator, reported in the Social Inclusion Monitor Europe Index Report based on data from OECD PISA and Bertelsmann Stiftung, tackles howa society can be deemed socially just depends significantly – in addition to the issue of poverty prevention – on the distribution and organization of educational opportunities. The indicator monitors how one student’s social background influences his or her educational performance. Sweden, Denmark, Lithuania, Estonia, Croatia and Finland are the top-ranked EU countries in this dimension. At the same time, Finland and Estonia attained the best results in the last PISA survey of learning achievement levels. This demonstrates that a high degree of social justice and a well-performing school and training system need not be incompatible goals.","Standarized Measure","0","Die ermittelten Scores wurden standarisiert, weswegen der Optimalwert von dem wir ausgehen null ist.",,,,"OECD","","global","OKF","http://news.sgi-network.org/uploads/tx_amsgistudies/Social-Justice-in-the-EU-2014.pdf","social","[4]",2014,"[""BMBF""]"
"People at risk of poverty or social exclusion","t2020_50","Einkommensarmut","Anteil der Bevölkerung, die im nationalen Vergleich nach sozialen Transferleistungen über weniger als 60% des mittleren verfügbaren Einkommens haben.","Share of population with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers).","The Europe 2020 strategy promotes social inclusion, in particular through the reduction of poverty, by aiming to lift at least 20 million people out of the risk of poverty and social exclusion. This indicator corresponds to the sum of persons who are: at risk of poverty or severely materially deprived or living in households with very low work intensity. Persons are only counted once even if they are present in several sub-indicators. At risk-of-poverty are persons with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers). Social transfers are benefits provided by national or local governments, including benefits relating to education, housing,pensions or unemployment.","The Europe 2020 strategy promotes social inclusion, in particular through the reduction of poverty, by aiming to lift at least 20 million people out of the risk of poverty and social exclusion. This indicator corresponds to the sum of persons who are: at risk of poverty or severely materially deprived or living in households with very low work intensity. Persons are only counted once even if they are present in several sub-indicators. At risk-of-poverty are persons with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers). Social transfers are benefits provided by national or local governments, including benefits relating to education, housing,pensions or unemployment.","% der Gesamtbevölkerung","10","",,,,"Eurostat","The Europe 2020 strategy promotes social inclusion, in particular through the reduction of poverty, by aiming to lift at least 20 million people out of the risk of poverty and social exclusion. This indicator corresponds to the sum of persons who are: at risk of poverty or severely materially deprived or living in households with very low work intensity. Persons are only counted once even if they are present in several sub-indicators. At risk-of-poverty are persons with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers). Material deprivation covers indicators relating to economic strain and durables. Severely materially deprived persons have living conditions severely constrained by a lack of resources, they experience at least 4 out of 9 following deprivations items: cannot afford i) to pay rent or utility bills, ii) keep home adequately warm, iii) face unexpected expenses, iv) eat meat, fish or a protein equivalent every second day, v) a week holiday away from home, vi) a car, vii) a washing machine, viii) a colour TV, or ix) a telephone. People living in households with very low work intensity are those aged 0-59 living in households where the adults (aged 18-59) work less than 20% of their total work potential during the past year.","national","Europe2020","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=t2020_50","[""social""]","[1]",2014,"[""BMAS""]"
"Transparency of Weapons Exports","","Transparenz der Waffenexporte","Anteil der für Waffenexporte relevanten Informationen","Share of information relevant for weapons' exports that are publicly available","Die Werte geben an, inwiefern ein Land relevante Informationen zu Rüstungshandel bereit stellt. Der höchste Wert pro Spalte ist 100%. Die Daten stammen aus dem Saferworld Transparency Index, der 151 Datenfelder enhält, von denen jedes Feld eine Art von Information abbildet, die für den Waffenhandel relevant ist. Die Daten werden von Saferworld jährlich gesammelt. Die Open Knowledge Foundation hat in Absprache mit Saferworld diese 151 Datenfelder mit folgenden Werten gewichtet: 0,1,2 und 5. Die Gewichtung stellt dar, wie relevant diese Informationen aus der Perspektive entwicklungsfreundlicher Politik sind. Die Daten hier genutzten Daten stammen aus 2013. Luxemburg hat 100 % Gesamtwertung, da es keine Waffen exportiert.","The values are % values indicating how much information on weapons' exports are publicly available. The highest value is 100%. The data is derived from the Saferworld Transparency Index, which includes 151 Datafields of information relevant for weapons' exports. Each EU country is assessed as to whether or not data for each data field is provided. The data is collected by Saferworld on an annual basis. In consultation with Saferworld the 151 have been given different weights (0,1,2 and 5) depending on how important they are from a perspective of development friendliness. The data is from 2013. Luxembourg gets a value of 100% because they do not export weapons.","%","100","Die weitgehende Transparenz der Waffenexporte ist eine Voraussetzung für eine öffentliche Diskussion um Waffenexporte.",,,,"Saferworld","This database lists 151 ‘minimum elements for effective reporting’, and then sets out for each EU Member State how many and which of those elements they report against. It identifies how many States report on each element, and allows users to quickly compare the quality of reporting across the EU.","global","OKF","http://www.saferworld.org.uk/eureporting/","","[16]",2013,"[""BMWI""]"
"Public procurement","","Qualität der öffentlichen Auftragsvergabe","Indikator bewertet die Qualität der öffentlichen Auftragsvergabe anhand eines Punktesystesm. Der Indikator ist von der EU Kommission übernommen.","Indicator assesses the quality of public procurement based on points awarded for several aspects of procurement. The indicator is adopted from the EU Commission.","Jedes very year über 250000 öffentliche Behörden in der EU wenden etwa 18% des BIP der EU für den Einkauf von Dienstleistungen und Einkäufe auf. Um ein eine für alle Firmen faire Auftragsvergabe sicherzustellen hat die EU Minimumanforderungen für die Öffentliche Auftragsvergabe festgelegt. Diese Anforderungen sind in nationale Gesetze übertragen worden und betreffen Aufträge, die einen bestimmten Geldwert übersteigen. Für Aufträge unter diesem Geldwert gelten nationale Gesetze, die jedoch auch die Prinzipien der EU Gesetze respektieren müssen. Der her verwendete Indikator basiert auf einer offiziellen Bewertung der öffentlichen Auftragsvergabe aller EU Mitglieder durch die Europäische Kommission. Er umfasst 6 Unterindikatoren: a) Anteil der öffentlichen Aufträge mit nur einem Anbieter, b) Anzahl der öffentlichen Aufträge ohne öffentliche Ausschreibung, c) Anzahl der Aufträge mit mehr als einem staatlichen Auftraggeber, d) Anzahl der Aufträge, die nur auf der Basis des geringsten Preises vergeben wurden, e) Dauer eines Vergabeprozesses und f) Qualität der Information in öffentlichen Ausschreibungen. Wie alle Indikatoren vereinfachen diese Teilindikatoren die Realität. Sie werden beeinflusst durch länderspezifische Faktoren wie beispielsweise die Zusammensetzung der öffentlichen Auftragsvergabe, die Struktur der Wirtschaft und Beziehungen zwischen unterschiedlichen Vergabeoptionen, die hier nicht berücksichtigt werden können. Darüber hinaus werden einige Aspekte öffentlicher Auftragsvergabe ausgelassen oder nur teilweise abgedeckt wie zum Beispiel Korruption, administrativer Aufwand und Professionalität. Der Indikator stellt daher zwar sinnvolle Informationen bereit, bietet aber nur ein unvollständiges Bild der öffentlichen Auftragsvergabe in Europa.","Every year, over 250 000 public authorities in the EU spend around 18% of GDP on the purchase of services, works and supplies.To create a level playing field for all businesses across Europe, EU law sets out minimum harmonised public procurement rules. These rules organise the way public authorities and certain public utility operators purchase goods, works and services. They are transposed into national legislation and apply to tenders whose monetary value exceeds a certain amount. For tenders of lower value, national rules apply. Nevertheless, these national rules also have to respect the general principles of EU law. This indicator is based on an official assessment of public procurement in all EU member states by the European Commission. It includes the following sub-indicators: a) The proportion of contracts awarded with only one bidder, b) the proportion of contracts awarded without a call for tender, c) the proportion of contracts with more than one public buyer, d) the proportion of contracts awarded only on the basis of the lowest price, e) the speed of public procurement processes and f) the quality of reporting by public buyers.Like all indicators, however, these indicators simplify reality. They are affected by country-specific factors such as the composition of procurement, the structure of the economies concerned, and the relationships between different tendering options, none of which are taken into account. Also, some aspects of public procurement are omitted entirely or covered only indirectly - for instance corruption, administrative burden and professionalism. Thus, although the Scoreboard provides very useful information, it gives only a partial view of EU countries' public procurement performance.","Qualitative Bewertung nach Punkten","5","Bewertung beruht auf dem Single Market Scoreboard der Europäischen Kommission und den EU Richtlinien für öffentliche Vergabe. Bei einer Einhaltung der EU Richtlinien in über 90% der Fälle wird ein Land mit 1 bewertet. Ein Land mit einer Einhaltung der Vorgaben in 80 bis 90% der öffentlichen Auftragsvergabe wird mit 1 bewertet. Wenn die EU Vorgaben in weniger als 80% der Vergabefälle eingehalten werden ist die Bewertung 5.",,,,"European commission ","The indicators set out below reflect how the different EU countries are performing in key aspects of public procurement. While the indicators offer asimplified picture, they nevertheless show basic aspects of countries’ procurement markets. All indicators are based on notices published in the Tenders Electronic Daily (TED) database under the general, sectoral, and defence procurementdirectives. This data is available on the EU Open Data Portal. ","national","OKF","http://ec.europa.eu/internal_market/scoreboard/performance_per_policy_area/public_procurement/index_en.htm#maincontentSec2","[""economic""]","[8,16]",2014,"[""BMWI""]"
"Severe material deprivation rate","ilc_mddd11","Materielle Armut","Anteil der Gesamtbevölkerung die unter erheblicher materieller Armut leidet","Share of total population suffering from severe material deprivation","Dieser Indikator ist einer der von der EU festgelegten Indikatoren für Armut und soziale Exklusion in der Europe 2020 Strategie. Die Daten wurden durch eine Umfrage von der EU erhoben und nuthen 2008 als Basisjahr. In der EU Definition wird von materieller Armut gesprochen, wenn einer der vier Kriterien vorliegt: Personen können ihr Rechnungen für Miete, Strom, Heizung und Wasser nicht zahlen, Personen können unerwartete Ausgaben nicht tragen, Personen können nicht wenigstens jeden zweiten Tag Fleisch, Fisch oder andere proteinreiche Nahrung essen, Personen können sich folgende Dinge nicht leisten: einen einwöchigen Urlaub, ein Auto, einen Farbfernseher oder ein Telefon.","This indicator is one of the indicators agreed by the EU to measure poverty and social exclusion. The data is collected in surveys using the baseline year 2008. Material deprivation covers issues relating to economic strain, durables and housing and environment of the dwellings. Severely materially deprived persons have living conditions greatly constrained by a lack of resources and cannot afford at least four of the following: to pay their rent or utility bills, to keep their home warm, to pay unexpected expenses, to eat meat, fish or other protein-rich nutrition every second day, a week holiday away from home, to own a car, a colour TV or a telephone.","% of population","0","",,"","29.10.2015","Eurostat","","national","OKF","http://ec.europa.eu/eurostat/data/database","[""social""]","[1]",2014,"[""BMAS""]"
"ODA as share of GDP","","Anteil Entwicklungshilfe am BIP","Anteil der Gelder, die für offizielle Entwicklungszusammenarbeit aufgewendet werden am Bruttoinlandsprodukt","Share of official development aid in gross domestic product","Anteil der offiziellen Entwicklungshilfe (official development aid; ODA) am Bruttoinlandsprodukt. Zugrunde gelegt werden die offiziellen ODA Zahlen in Millionen US$ (aktuelle Preise) die an die OECD gemeldet werden. Die Zahlen beinhalten auch ODA Aufwendungen für Flüchtlinge,, geschätze Kosten für Studenten aus Entwicklungsländern und entwicklungspolitische Bildungsarbeit im Inland sowie Aufwendungen für Administration. Die Daten stammen von der OECD.","The indicator measures the share of official development aid (ODA) in the national gross domestic product. It is based on the official numbers reported to the OECD in US $ millions in current prices. Included are financing used for migrants and for development education in OECD countries, imputed costs for students from developing countries studying in OECD countries as well as administrative costs of development cooperation. The data is from the OECD. ","% of ODA/GDP","0.70","UN commitment",,,,"OECD","Source note GDP: Gross domestic product (GDP) at market prices is the expenditure on final goods and services minus imports: final consumption expenditures, gross capital formation, and exports less imports. Gross signifies that no deduction has been made for the depreciation of machinery, buildings and other capital products used in production. Domestic means that it is production by the resident institutional units of the country. The products refer to final goods and services, that is, those that are purchased, imputed or otherwise, as: final consumption of households, non-profit institutions serving households and government; fixed assets; and exports (minus imports). Data are internationally comparable by following the System of National Accounts. This indicator is measured in USD per capita (GDP per capita) and in million USD at current prices and PPPs.","global","OKF","http://stats.oecd.org/Index.aspx?datasetcode=CRS1","[""social"",""economic""]","[17]",2013,"[""BMF""]"
"Unemployment rate - annual data","tipsun20","Arbeitslosenrate","Anteil der Arbeitslosen an der arbeitsfähigen Bevölkerung","Share of unemployed as percentage of total labour force","Die Arbeitslosenquote bezeichnet die Anzahl der Arbeitslosen als Prozentsatz der Erwerbsbevölkerung basierend auf der Definition der Internationalen Arbeitsorganisation (ILO). Die Erwerbsbevölkerung setzt sich aus Beschäftigten und Arbeitslosen zusammen. Zu den Arbeitslosen zählen Personen im Alter zwischen 15 und 74 Jahren, die in der Berichtswoche ohne Arbeit waren, für eine Arbeit sofort verfügbar waren und in den vergangenen vier Wochen aktiv auf Arbeitssuche waren oder eine Arbeit gefunden hatten, die sie innerhalb der nächsten drei Monate aufnehmen würden. Einheit: Quote. (Quelle: Eurostat)","The unemployment rate is the number of unemployed persons as a percentage of the labour force based on International Labour Office (ILO) definition. The labour force is the total number of people employed and unemployed. Unemployed persons comprise persons aged 15 to 74 who: - are without work during the reference week; - are available to start work within the next two weeks; - and have been actively seeking work in the past four weeks or had already found a job to start within the next three months. Unit: rate. (Source: Eurostat)","% aller verfügbaren Arbeitskräfte","5","Die Bewertung orientiert sich an dem best performer (5%) und den worst performer (26%)",,,,"Eurostat","The unemployment rate is the number of unemployed persons as a percentage of the labour force based on International Labour Office (ILO) definition. The labour force is the total number of people employed and unemployed. Unemployed persons comprise persons aged 15 to 74 who: - are without work during the reference week; - are available to start work within the next two weeks; - and have been actively seeking work in the past four weeks or had already found a job to start within the next three months. Unit: rate","national","IAEG","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tipsun20","[""social"",""economic""]","[8]",2014,"[""BMAS""]"
"Women who have experienced physical and/or sexual violence by a current or previous partner, or by any other person since the age of 15, by EU Member State (%)","","Physische oder sexuelle Gewalt gegen Frauen","Anteil der Frauen über 18, die seit ihrem 15 Lebensjahr physischer oder sexueller Gewalt ausgesetzt waren","Share of women over 18 who have experienced physical or sexual violence since the age of 15","Der Indikator misst den Anteil der Frauen über 18 Jahren, die seit ihrem 15 Lebensjahr physischer oder sexueller Gewalt ausgeliefert waren. Die Daten beruhen auf der Umfrage 'Gewalt gegen Frauen', die im Jahr 2012 von der EU Agency for Fundamental Rights durchgeführt wurde. Die Umfrage umfasste persönliche Interviews mit 42.000 Frauen in der EU und wurde von März bis September 2012 durchgeführt. Die befragten Frauen wurden auf der Basis einer Zufallsstichprobe ausgewählt. The results are representative of the experiences and opinions of 18-74-year-old women living in the EU.","The indicator measure the share of women above 18 who have experienced sexual or physical violence since the age of 15. The FRA survey on violence against women is based on face-to-face interviews with 42,000 women across the EU. The survey was carried out between March and September 2012 and presents the most comprehensive survey worldwide on women’s experiences of violence. The respondents were selected based on random sampling. The results are representative of the experiences and opinions of 18-74-year-old women living in the EU.","Prozent aller Frauen über 15 Jahren","10","",,,,"European Union Agency for Fundamental Rights","","national","IAEG","http://fra.europa.eu/sites/default/files/fra-2014-vaw-survey-at-a-glance-oct14_en.pdf","[""social""]","[5]",2012,"[""BMFSJF""]"
"The Global Gender Gap Index 2014","","Gender gap","Der Global Gender Gap Report stellt ein öffentlichles und weltweit relevantes Tool zur Verfügung dass Informationen zum Fortschritt in Geschlechtergleichheit in den jeweiligen Ländern bietet.","The Global Gender Gap Report provides a public, globally relevant tool that delivers information on how countries are faring on gender equality.",,"People and their talents are the core that drives sustainable, long-term economic growth. If half of these talents are underdeveloped or underutilized, the economy will never grow as it could. Multiple studies have shown that healty and educated women are more likely to have healthier and more edcuated children, creating a positive, virtuous cycle fort he broader population. The Word Economic Forum developed this indicator to show in percent how far the Gender Gap is closed in a Certain country and is calculated by different subfactors: Economic participation and opportunity, Educational Attainment, Health and Survival, and Political Empowerment.","Bildungsniveau, Gesundheit und Lebenserwartung, sowie Politische Bemächtigung.","100","Die Score gibt an zu wie viel Prozent der Gender Gap in einem Land momentan geschlossen ist. 100% zeigt dementsprechend auf dass der Gender Gap vollkommen geschlossen ist. Es ist das Ziel um in allen Ländern diesen Gap vollkommen zu schließen. Yemen hat die niedrigste Score mit rund 0.51, daher findet eine Bewertung zwischen den Scores 50%-100% statt.",,"09.11.2015",,"WEF (World Economic Forum)","","national","OKF","http://reports.weforum.org/global-gender-gap-report-2014/heatmap/,http://www.measuring-progress.eu/global-gender-gap-inde","[""social"",""economic""]","[5]",2014,"[""BMFSJF""]"
